github:nf-core/rnaseq, stars:1037
github:nf-core/sarek, stars:449
github:nf-core/modules, stars:355
github:nf-core/scrnaseq, stars:274
github:nf-core/tools, stars:259
github:nf-core/mag, stars:238
github:nf-core/chipseq, stars:215
github:nf-core/ampliseq, stars:206
github:nf-core/atacseq, stars:202
github:nf-core/nanoseq, stars:201
github:nf-core/fetchngs, stars:175
github:nf-core/eager, stars:169
github:nf-core/methylseq, stars:167
github:nf-core/rnafusion, stars:159
github:nf-core/taxprofiler, stars:148
github:nf-core/viralrecon, stars:137
github:nf-core/raredisease, stars:100
github:nf-core/configs, stars:99
github:nf-core/hic, stars:99
github:nf-core/cutandrun, stars:91
github:nf-core/pangenome, stars:88
github:nf-core/funcscan, stars:87
github:nf-core/smrnaseq, stars:85
github:nf-core/proteinfold, stars:80
github:nf-core/differentialabundance, stars:78
github:nf-core/bacass, stars:74
github:nf-core/oncoanalyser, stars:74
github:nf-core/hlatyping, stars:67
github:nf-core/scdownstream, stars:66
github:nf-core/spatialvi, stars:64
github:nf-core/airrflow, stars:62
github:nf-core/bactmap, stars:55
github:nf-core/circrna, stars:55
github:nf-core/rnasplice, stars:54
github:nf-core/demultiplex, stars:47
github:nf-core/rnavar, stars:47
github:nf-core/crisprseq, stars:46
github:nf-core/epitopeprediction, stars:45
github:nf-core/isoseq, stars:43
github:nf-core/deepvariant, stars:40
github:nf-core/scnanoseq, stars:37
github:nf-core/proteomicslfq, stars:36
github:nf-core/multiplesequencealign, stars:35
github:nf-core/mhcquant, stars:35
github:nf-core/quantms, stars:34
github:nf-core/lncpipe, stars:34
github:nf-core/readsimulator, stars:31
github:nf-core/metatdenovo, stars:31
github:nf-core/circdna, stars:30
github:nf-core/deepmodeloptim, stars:29
github:nf-core/variantbenchmarking, stars:29
github:nf-core/genomeannotator, stars:28
github:nf-core/bamtofastq, stars:26
github:nf-core/genomeassembler, stars:25
github:nf-core/hgtseq, stars:25
github:nf-core/imcyto, stars:25
github:nf-core/gwas, stars:25
github:nf-core/scflow, stars:25
github:nf-core/pathogensurveillance, stars:24
github:nf-core/fastquorum, stars:23
github:nf-core/dualrnaseq, stars:22
github:nf-core/phaseimpute, stars:22
github:nf-core/kmermaid, stars:21
github:nf-core/metaboigniter, stars:21
github:nf-core/clipseq, stars:21
github:nf-core/drugresponseeval, stars:20
github:nf-core/detaxizer, stars:20
github:nf-core/cookiecutter, stars:19
github:nf-core/nascent, stars:19
github:nf-core/diaproteomics, stars:19
github:nf-core/spatialxe, stars:19
github:nf-core/setup-nextflow, stars:18
github:nf-core/denovotranscript, stars:17
github:nf-core/viralintegration, stars:17
github:nf-core/tumourevo, stars:17
github:nf-core/exoseq, stars:16
github:nf-core/references, stars:16
github:nf-core/smartseq2, stars:15
github:nf-core/vscode-extensionpack, stars:15
github:nf-core/mcmicro, stars:15
github:nf-core/vipr, stars:14
github:nf-core/proteinfamilies, stars:14
github:nf-core/nanostring, stars:14
github:nf-core/genomeqc, stars:13
github:nf-core/phageannotator, stars:13
github:nf-core/riboseq, stars:13
github:nf-core/tower-action, stars:12
github:nf-core/metapep, stars:12
github:nf-core/variantcatalogue, stars:12
github:nf-core/tfactivity, stars:12
github:nf-core/seqinspector, stars:12
github:nf-core/molkart, stars:12
github:nf-core/nft-utils, stars:11
github:nf-core/coproid, stars:11
github:nf-core/cageseq, stars:11
github:nf-core/mnaseseq, stars:11
github:nf-core/hicar, stars:11
github:nf-core/reportho, stars:11
github:nf-core/phyloplace, stars:10
github:nf-core/tbanalyzer, stars:10
github:nf-core/omicsgenetraitassociation, stars:10
github:nf-core/pacvar, stars:10
github:nf-core/methylong, stars:10
github:nf-core/pixelator, stars:9
github:nf-core/meerpipe, stars:9
github:nf-core/createpanelrefs, stars:9
github:nf-core/createtaxdb, stars:9
github:nf-core/datasync, stars:9
github:nf-core/pairgenomealign, stars:9
github:nf-core/denovohybrid, stars:8
github:nf-core/slamseq, stars:8
github:nf-core/rnadnavar, stars:8
github:nf-core/proposals, stars:8
github:nf-core/pgdb, stars:7
github:nf-core/sublime, stars:7
github:nf-core/marsseq, stars:7
github:nf-core/radseq, stars:7
github:nf-core/rangeland, stars:7
github:nf-core/mitodetect, stars:7
github:nf-core/logos, stars:6
github:nf-core/prettier-pluginnextflow, stars:6
github:nf-core/magmap, stars:6
github:nf-core/demo, stars:6
github:nf-core/crisprvar, stars:5
github:nf-core/awsmegatests, stars:5
github:nf-core/gh-actionslint, stars:5
github:nf-core/testpipeline, stars:5
github:nf-core/callingcards, stars:5
github:nf-core/diseasemodulediscovery, stars:5
github:nf-core/setup-nftest, stars:5
github:nf-core/modules-template, stars:5
github:nf-core/cellpainting, stars:5
github:nf-core/ddamsproteomics, stars:4
github:nf-core/sammyseq, stars:4
github:nf-core/spinningjenny, stars:4
github:nf-core/drop, stars:4
github:nf-core/methylarray, stars:4
github:nf-core/fastqrepair, stars:4
github:nf-core/stableexpression, stars:4
github:nf-core/proteinannotator, stars:4
github:nf-core/neutronstar, stars:3
github:nf-core/genomeskim, stars:3
github:nf-core/actions-runners, stars:3
github:nf-core/nft-tiff, stars:3
github:nf-core/ops, stars:2
github:nf-core/lsmquant, stars:2
github:nf-core/troughgraph, stars:2
github:nf-core/.github, stars:1
github:nf-core/ssds, stars:1
github:nf-core/basic_training, stars:1
github:nf-core/vale, stars:1
github:nf-core/stats, stars:1
github:nf-core/connectgame, stars:1
github:nf-core/hackathon, stars:1
github:nf-core/references-datasheets, stars:1
github:nf-core/evexplorer, stars:1
github:nf-core/nf-utils, stars:1
github:nf-core/liverctanalysis, stars:0
github:nf-core/abotyper, stars:0
github:nf-core/ribomsqc, stars:0
